tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,intent,notes
1796984,539953,True,2017-10-29 01:04:46+00:00,@VerizonSupport So I don't have to open up the box?,"1796992,1796993",1796982.0,,
386981,207610,True,2017-10-09 13:22:42+00:00,@115722  #shittycustomerservice #dontmaketheswitch #bs #runaround. Definitely going back to @119000 .,386980,,,
999736,356716,True,2017-10-22 17:01:48+00:00,When @115722 takes out @117310 with NO NOTICE 😡 &amp; now I can’t watch @44056 tonight 😡😡 thanks @115722 😒 I will be cancelling my services with you ASAP,999735,,,
1667614,507912,True,2017-11-26 05:09:05+00:00,"@VerizonSupport I just tried, it works on other shows.",1667615,1667613.0,,
1441167,454378,True,2017-11-02 12:07:17+00:00,Verizon theives @55 result! How fast is your internet? https://t.co/9xGfklx8Ic #speedtest,1441165,,,
55714,128628,True,2017-11-01 19:15:49+00:00,@115722 You’re ridiculous. To charge $290 without my concent... disgusting. Thank goodness it’s not a monopoly! #bye #horribleservice,55713,,,
1194378,400647,True,2017-10-25 01:59:50+00:00,"@VerizonSupport Yes, my phone has been slower over wireless and my computer has been slower in Overwatch over a wired connection",1194380,1194377.0,,
815355,314168,True,2017-10-28 00:41:07+00:00,@115725 Found it what do I do next?,815354,815356.0,,
208120,165232,True,2017-10-05 01:01:15+00:00,@VerizonSupport I’m done. It took less than 30 days for crap to start happening. I’m cancelling service.,208118,208121.0,,
2270597,510857,True,2017-11-11 12:40:30+00:00,@115722 @VerizonSupport your cable product is becoming the bane of my existence. I never thought I'd actually prefer @116136 cable. #getwiththeprogram #bringingbackxfinity,"2270596,2270598",,,
1832739,549860,True,2017-10-18 05:34:31+00:00,@115722 Your customer service is non-existant. Only ISP I've ever had that you can't just TALK to someone.,1832738,,,
2504134,714168,True,2017-11-20 14:13:48+00:00,"Yet another day of dealing with Internet issues from @116136. I’d switch to @115722, but they’re pricing is equally insane and everyone I know that switches to FIOS, moves back to Xfinity or over to DirectTV within a year.","2504133,2504135",,,
2780102,776504,True,2017-11-21 16:02:41+00:00,"Whether Pai, Comcast, and Verizon like it or not, the Internet is a necessary resource to live in our modern society. To classify it in any other way is akin to denying electricity and on the same track as denying water. 4/4",2780100,2780103.0,,
1584354,487536,True,2017-10-28 21:54:19+00:00,@115725 Yes they did,1584353,1584355.0,,
104542,139079,True,2017-11-30 18:01:25+00:00,.@115725 hi why is your customer support answer to everything reset the modem? and when that doesn't work you guys offer me a new modem but really it's same model? why does your home internet service suck ass?,104541,,,
