tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
529315,VerizonSupport,False,2013-04-20 13:54:21+00:00,@242560 Try disconnecting/reconnecting coax connections to the router and power cycling it? Then run test again on hardwired device. ^SEM,529314,
1341577,VerizonSupport,False,2017-05-09 23:18:24+00:00,@432923 What channel are you looking for on Fios?  ^DFM,1341578,1341579.0
1839373,VerizonSupport,False,2017-05-24 03:37:27+00:00,@551253 Can't see the photo. What does it state? ^STW,1839374,1839375.0
1704143,VerizonSupport,False,2017-07-10 02:08:26+00:00,"@516565 Please contact our friends @115990 for assistance.
^TXA",1704144,1704145.0
2765992,VerizonSupport,False,2017-07-14 17:14:27+00:00,@773563 This is not the perception we want you to have of us. Allow us to turn this around for you. How can we assist? ^DDG,2765993,2765994.0
1760986,VerizonSupport,False,2017-08-08 01:16:31+00:00,@529965 We are here for you. Do you happen to have your accounts linked and have you attempted to sign in on another device with the same issue?^JRA,1760985,1760987.0
958787,VerizonSupport,False,2017-08-08 01:17:30+00:00,@347491 We never want to hear this and want to provide the correct support. Is this regarding your Mobile or Residential services? ^JRA,958783,958788.0
958781,VerizonSupport,False,2017-08-08 01:27:31+00:00,@347491 Is this the 3g service from a Mobile phone or is the issue with you connecting to your residential router for internet? ^JRA,958782,958783.0
958784,VerizonSupport,False,2017-08-08 01:36:00+00:00,@347491 Understood. We will have to refer this to our wireless counterparts @115990 for all your jet pack concerns. ^JRA,958785,958782.0
1760984,VerizonSupport,False,2017-08-08 11:58:25+00:00,"@529965 Can you log into your Verizon account? 
^TDC",1760971,1760985.0
1760969,VerizonSupport,False,2017-08-08 12:10:28+00:00,"@529965 Please follow and DM us.
^JAY",1760970,1760971.0
1471567,VerizonSupport,False,2017-08-12 20:52:02+00:00,@461583 That is strange.  Keep us updated if anything else weird happens like that. ^BCW,1471565,1471568.0
830423,VerizonSupport,False,2017-08-15 18:03:00+00:00,That's odd! Are you having the same experience with our site on all devices?,830422,
2974737,VerizonSupport,False,2017-08-16 01:28:28+00:00,"@820407 Hi Elaine, are you looking for Verizon Wireless or Verizon Fios service? 
^FEM",2974738,2974739.0
1583527,VerizonSupport,False,2017-08-19 00:39:52+00:00,@487345 Thanks! Have you already tried factory resetting the router by holding down the reset button on the back for 15 seconds? ^DDD,1583526,1583528.0
1538529,VerizonSupport,False,2017-08-25 11:26:00+00:00,"@476909 We want you to like us.  If you ever need anything, we're right here to help. ^BCW",1538528,1538530.0
1647897,VerizonSupport,False,2017-09-05 19:22:29+00:00,@503455 You can check for avail and status here.  https://t.co/Y42XTgUPzL ^CAR,1647896,1647898.0
1647895,VerizonSupport,False,2017-09-05 19:32:00+00:00,"@503455 That is strange. Please follow and DM us so that we can investigate this for you!
^HSB",1647893,1647896.0
1647891,VerizonSupport,False,2017-09-05 19:42:38+00:00,"@503455 We can help and will follow up, just need you to DM us. 
^ACM",1647892,1647893.0
736935,VerizonSupport,False,2017-09-11 15:54:00+00:00,"@221126 We would love to have you. 
^ACM",736936,736937.0
664630,VerizonSupport,False,2017-09-24 00:54:27+00:00,@278394 God evening was that for your home or cell voice services? ^RMD,664631,664632.0
252787,VerizonSupport,False,2017-09-25 20:52:00+00:00,@176073 We're happy to hear you're happy with us! Please let us know if you have any issues with your service. ^DDD,,252788.0
349045,VerizonSupport,False,2017-09-26 02:18:00+00:00,@146623 Are you watching on your home wifi network right now? ^DDD,349044,349046.0
349043,VerizonSupport,False,2017-09-26 02:27:00+00:00,"@146623 Are you trying to watch the game in the Fios Mobile app or the NFL Mobile app?
^HSB",349042,349044.0
349041,VerizonSupport,False,2017-09-26 04:06:31+00:00,@146623 You can report problems with the app by going to dashboard&gt; Help&gt; report problem. ^FEM,349040,349042.0
822066,VerizonSupport,False,2017-09-27 00:27:00+00:00,@315804 We'd like to help with your guide issue. Have you already rebooted both your router and Set Top Box? ^DDD,822065,
239546,VerizonSupport,False,2017-09-27 04:15:00+00:00,"@172918 We will be happy to help. What seems to be the problem that you are having?
^TXA",239545,239547.0
1196728,VerizonSupport,False,2017-09-27 22:35:54+00:00,"@401177 Is this for your Verizon residential or Verizon wireless mobile?
^ADP",1196729,1196730.0
239544,VerizonSupport,False,2017-09-28 02:37:29+00:00,@172918 What happens when you try to watch the channel? ^DDD,239542,239545.0
773457,VerizonSupport,False,2017-09-28 13:49:31+00:00,"@304761 Let’s get you over to our partner’s @115990 and they will assist you with your wireless concerns.
^TDC",773458,773459.0
360488,VerizonSupport,False,2017-09-28 21:10:00+00:00,@201376 Is this happening on all shows you set up? ^RMD,360487,360489.0
360486,VerizonSupport,False,2017-09-28 23:48:26+00:00,"@201376 Gotcha, is it no matter what you attempt to record or just specific shows? ^RMD",360485,360487.0
360484,VerizonSupport,False,2017-09-29 01:13:53+00:00,@201376 Could you delete and reinstall the app if you are at home and let us know if this issue clears please. ^RMD,360483,360485.0
365854,VerizonSupport,False,2017-09-29 01:59:31+00:00,@202671 Does it do the same when using other remotes or the remote with the Fios mobile app? ^JRA,365853,365855.0
365852,VerizonSupport,False,2017-09-29 02:19:00+00:00,"@202671 Do you have another remote that you can try?
^TXA",365851,365853.0
257657,VerizonSupport,False,2017-09-29 05:17:52+00:00,@177284 @177285 We try. If you ever do need support we will be here for you 24x7. ^JRA,"257658,257659,257660,257661",257662.0
423734,VerizonSupport,False,2017-09-29 07:18:53+00:00,"@215878 We are happy to have you with us. 
^TXA",423733,423735.0
360482,VerizonSupport,False,2017-09-29 17:13:00+00:00,@201376 Let's get that box to re-register with our network.  Can you reboot the router and the DVR for us by unplugging the power? ^BCW,360481,360483.0
360480,VerizonSupport,False,2017-09-29 17:24:32+00:00,"@201376 No problem. Keep us posted.
^JAY",360478,360481.0
423731,VerizonSupport,False,2017-09-30 14:50:50+00:00,"@215876 We're always expanding our Fios footprint. You can check for avail and status here.  https://t.co/19cJ6VLKJ4 
^JAY",423732,423733.0
365850,VerizonSupport,False,2017-10-01 21:17:30+00:00,@202671 Have you already had a chance to reboot that DVR box? ^RMD,365849,365851.0
365848,VerizonSupport,False,2017-10-01 21:35:28+00:00,"@202671 Try this on the TV, Go to Menu&gt; Customer Support&gt; Top Support Tools&gt; Fix Fios TV Issues. Then try again. Let us know if that helps.

^TNT",365847,365849.0
365846,VerizonSupport,False,2017-10-01 22:27:29+00:00,"@202671 Does it respond to any button on your remote?
^TNT",365845,365847.0
236136,VerizonSupport,False,2017-10-02 00:17:28+00:00,@172241 We'd like to assist. Please follow and DM us at your convenience. ^DDD,236135,236137.0
236134,VerizonSupport,False,2017-10-02 00:21:00+00:00,"@172241 Hi Brandon, in order to get the new customer discount you would need to be a new customer. We have discounts for customers that renew.
^FEM",236133,236135.0
359484,VerizonSupport,False,2017-10-02 11:57:00+00:00,"@201136 We can help you here. What is going on with your Fios service?
^ADP",359485,359486.0
410482,VerizonSupport,False,2017-10-02 14:56:26+00:00,"@212913 Thank you for the feedback, please use our link to receive updates. https://t.co/wRDjTkPjOQ  ^CAR","410483,410484",410485.0
239539,VerizonSupport,False,2017-10-03 02:01:00+00:00,"@172918 Do you get Not subscribed or currently unavailable?
^FEM","239540,239541",239542.0
258689,VerizonSupport,False,2017-10-03 17:06:30+00:00,@177526 Wow!  We can assist you here.  Is this for a residential or wireless account?  ^CAR,258688,258690.0
201890,VerizonSupport,False,2017-10-03 19:08:00+00:00,"@163690 We see the question now. Yes, we need it to do a credit check when establishing service. ^KMG",201889,201891.0
238069,VerizonSupport,False,2017-10-03 21:27:23+00:00,"@172654 We are making channels to our lineup and will be adding more channels in the very, very near future.
^JAY",238070,238071.0
238932,VerizonSupport,False,2017-10-03 22:12:00+00:00,"@172818 What's the issue with the phone, did it require a technician to come out?
^JAY",238931,238933.0
238930,VerizonSupport,False,2017-10-03 22:20:52+00:00,"@172818 Did they explain what the charges were for?
^JAY",238928,238931.0
238926,VerizonSupport,False,2017-10-03 22:32:00+00:00,"@172818 Are you viewing this online? Can you post a pic so we can view it here.
^JAY",238927,238928.0
213403,VerizonSupport,False,2017-10-04 00:07:50+00:00,"@166673 What issue are you having with the STBs that is making you feel this way? Let us know, we want to help. ^JRA",213402,213404.0
213401,VerizonSupport,False,2017-10-04 00:41:25+00:00,"@166673 When did this start?
^JAY",213400,213402.0
258686,VerizonSupport,False,2017-10-04 01:22:27+00:00,"@177526 Our Agent will take good care of you.
^NHP",258687,258688.0
201885,VerizonSupport,False,2017-10-04 01:36:25+00:00,"@163689 To clarify, are you having an issue with Fios or Wirless (mobile) service? ^DDD",201884,201886.0
188252,VerizonSupport,False,2017-10-04 01:37:54+00:00,@160171 Let's investigate! Are all Fios services down? ^DDD,188251,188253.0
197397,VerizonSupport,False,2017-10-04 01:38:31+00:00,"@162433 Oh no, what is making you feel this way? Let us know, we are here to help. ^JRA",197396,197398.0
188250,VerizonSupport,False,2017-10-04 01:46:00+00:00,"@160171 What color are the lights on the router?
^JAY",188249,188251.0
188248,VerizonSupport,False,2017-10-04 01:55:32+00:00,@160171 Thank you. Do you have access to your battery backup unit? ^DDD,188247,188249.0
188246,VerizonSupport,False,2017-10-04 02:02:29+00:00,"@160171 On your battery back up press and hold the alarm silence button/Reset button for 30 seconds. Wait 5 minutes, reset the router. ^NHP",188245,188247.0
188244,VerizonSupport,False,2017-10-04 02:17:28+00:00,"@160171 No problem. Thanks for reaching out to us.
^JAY",,188245.0
188239,VerizonSupport,False,2017-10-04 02:24:54+00:00,@160168 Oh no! What issue are you having? We'd like to help. ^DDD,188238,188240.0
2042585,VerizonSupport,False,2017-10-04 02:24:54+00:00,"@604010 Our apologies, were the services suspended prior to the payment being made, and was the required amount paid on the date due? ^JRA",,2042586.0
2042425,VerizonSupport,False,2017-10-04 02:25:55+00:00,"@603959 Our apologies, do you happen to have Fios or DSL with us and is the intenet light red on the router after rebooting it? ^JRA",,2042426.0
201127,VerizonSupport,False,2017-10-04 02:26:56+00:00,@163477 Let's work on your GoT issue! Have you already tried rebooting both your router and Set Top Box? ^DDD,201126,201128.0
188241,VerizonSupport,False,2017-10-04 02:29:57+00:00,"@160169 We're happy to hear that you are enjoying your Verizon experience. 
^BAB",,188242.0
188237,VerizonSupport,False,2017-10-04 02:30:30+00:00,@160168 We don't want to see you go and are here to assist. Let us know what is making you want to do this as we want to help. ^JRA,,188238.0
188235,VerizonSupport,False,2017-10-04 02:34:30+00:00,@160167 That certainly is odd for it to do it three times in one night! Please follow and DM us so we can discuss further. ^DDD,,188236.0
188233,VerizonSupport,False,2017-10-04 02:35:27+00:00,"@160166 Oh no! Is this for your Verizon home service? 
^BAB",188232,188234.0
188231,VerizonSupport,False,2017-10-04 02:38:52+00:00,@160166 Let's investigate this! Please follow and DM us at your convenience. ^DDD,,188232.0
188227,VerizonSupport,False,2017-10-04 02:39:26+00:00,"@160164 That's not how we want you to feel. How may we assist? 
^BAB",,188228.0
188225,VerizonSupport,False,2017-10-04 02:44:28+00:00,@160163 Oh no! Are you having an issue with Fios or Wireless (Mobile) service? ^DDD,188224,188226.0
188223,VerizonSupport,False,2017-10-04 02:53:28+00:00,@160163 Thanks for the tweet! We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. ^DDD,,188224.0
188221,VerizonSupport,False,2017-10-04 02:54:53+00:00,"@160162 Sure, please follow and DM us at your convenience. ^DDD",,188222.0
188218,VerizonSupport,False,2017-10-04 03:15:26+00:00,"@160160 Oh my! That's not how we want you to feel. It would be our pleasure to rectify any concerns you may have.
^BAB",,188219.0
188207,VerizonSupport,False,2017-10-04 03:19:26+00:00,@160158 Thank you. Have you already tried disconnecting the power and coax cables from the box and wall jack? ^DDD,188217,188206.0
188205,VerizonSupport,False,2017-10-04 03:19:52+00:00,@160158 We want to make sure the needle wires are straight on both ends before reconnecting. ^DDD,188183,188206.0
188214,VerizonSupport,False,2017-10-04 03:20:26+00:00,@160157 Oh no! Which app are you having trouble with? ^DDD,188215,188216.0
188212,VerizonSupport,False,2017-10-04 03:24:27+00:00,"@160159 Certainly, is the speed test being conducted via an Ethernet connected device?
^BAB",,188213.0
188178,VerizonSupport,False,2017-10-04 03:25:54+00:00,"@160157 Hi Alexis, Have you tried uninstalling and reinstalling the app?
^NHP",188177,188179.0
188180,VerizonSupport,False,2017-10-04 03:28:29+00:00,"@160158 We do understand the frustration but the signal-to-noise ratio associated with direct TV may differ from the current services.
^BAB","188181,188182",188183.0
188176,VerizonSupport,False,2017-10-04 03:32:25+00:00,"@160157 Thank you. Have you tried uninstalling the app, rebooting your device, then re-installing the app? ^DDD",,188177.0
