tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
529315,VerizonSupport,False,2013-04-20 13:54:21+00:00,@242560 Try disconnecting/reconnecting coax connections to the router and power cycling it? Then run test again on hardwired device. ^SEM,529314,
1341579,432923,True,2017-05-09 23:15:56+00:00,What channel are you on with verizon nyc,1341577,
1341577,VerizonSupport,False,2017-05-09 23:18:24+00:00,@432923 What channel are you looking for on Fios?  ^DFM,1341578,1341579.0
1839375,551253,True,2017-05-24 03:33:26+00:00,@VerizonSupport just got this message from you in an SMS but I called and it says you're closed. what do I do? https://t.co/FM2ixbuFcY,"1839378,1839379,1839373",
1839373,VerizonSupport,False,2017-05-24 03:37:27+00:00,@551253 Can't see the photo. What does it state? ^STW,1839374,1839375.0
1704145,516565,True,2017-07-10 02:05:25+00:00,@516567 @115725 And charge the average person 700 for a phone with 130 dollar bill not even unlimited but give the rich free stuff. shame @115725 shame.,1704143,1704146.0
1704143,VerizonSupport,False,2017-07-10 02:08:26+00:00,"@516565 Please contact our friends @115990 for assistance.
^TXA",1704144,1704145.0
2765994,773563,True,2017-07-14 17:12:12+00:00,"@773565 @773566 Service providers (like Verizon, directive, etc. ) want to charge extra money for internet services",2765992,2765995.0
2765992,VerizonSupport,False,2017-07-14 17:14:27+00:00,@773563 This is not the perception we want you to have of us. Allow us to turn this around for you. How can we assist? ^DDG,2765993,2765994.0
1760987,529965,True,2017-08-08 01:10:20+00:00,Help locked out of @119033 mail when I try to recover it gives me a key to input then redirects me to @115725,1760986,
958788,347491,True,2017-08-08 01:10:35+00:00,"@115725 @143798 My Verizon WiFi is so slow, I gave up trying to access your awards program.",958787,958789.0
1760986,VerizonSupport,False,2017-08-08 01:16:31+00:00,@529965 We are here for you. Do you happen to have your accounts linked and have you attempted to sign in on another device with the same issue?^JRA,1760985,1760987.0
958787,VerizonSupport,False,2017-08-08 01:17:30+00:00,@347491 We never want to hear this and want to provide the correct support. Is this regarding your Mobile or Residential services? ^JRA,958783,958788.0
958783,347491,True,2017-08-08 01:24:41+00:00,@VerizonSupport Residential 3g. Sometimes works fairly well. Other times will slow down to a stop. 3 hrs to pay 2 online bills.Verizon manipulating service?,"958786,958781",958787.0
958781,VerizonSupport,False,2017-08-08 01:27:31+00:00,@347491 Is this the 3g service from a Mobile phone or is the issue with you connecting to your residential router for internet? ^JRA,958782,958783.0
958782,347491,True,2017-08-08 01:30:35+00:00,"@VerizonSupport Verizon Jetpack, MiFi.. Local office sold me 4g, saying I have 4g service. Doesn't work, primarily 3g",958784,958781.0
958784,VerizonSupport,False,2017-08-08 01:36:00+00:00,@347491 Understood. We will have to refer this to our wireless counterparts @115990 for all your jet pack concerns. ^JRA,958785,958782.0
1760985,529965,True,2017-08-08 11:54:07+00:00,@VerizonSupport I have been on the phone with Verizon support all day yesterday they cannot figure out the problem yes other devices and my laptop,1760984,1760986.0
1760984,VerizonSupport,False,2017-08-08 11:58:25+00:00,"@529965 Can you log into your Verizon account? 
^TDC",1760971,1760985.0
1760971,529965,True,2017-08-08 12:03:29+00:00,@VerizonSupport No that's the problem,1760969,1760984.0
1760969,VerizonSupport,False,2017-08-08 12:10:28+00:00,"@529965 Please follow and DM us.
^JAY",1760970,1760971.0
1471568,461583,True,2017-08-12 20:50:01+00:00,@VerizonSupport opened the my fios app and it was someone else's similar name and account. Logged out and back in. Fixed. But strange.,1471567,
1471567,VerizonSupport,False,2017-08-12 20:52:02+00:00,@461583 That is strange.  Keep us updated if anything else weird happens like that. ^BCW,1471565,1471568.0
830423,VerizonSupport,False,2017-08-15 18:03:00+00:00,That's odd! Are you having the same experience with our site on all devices?,830422,
2974739,820407,True,2017-08-16 01:23:27+00:00,Want to start up service but cannot make progress with @115725 by email or FB...,2974737,
2974737,VerizonSupport,False,2017-08-16 01:28:28+00:00,"@820407 Hi Elaine, are you looking for Verizon Wireless or Verizon Fios service? 
^FEM",2974738,2974739.0
1583528,487345,True,2017-08-19 00:36:37+00:00,"@115722 Wireless, keeping in mind the upload frequently exceeds 100mbps",1583527,1583529.0
1583527,VerizonSupport,False,2017-08-19 00:39:52+00:00,@487345 Thanks! Have you already tried factory resetting the router by holding down the reset button on the back for 15 seconds? ^DDD,1583526,1583528.0
1538530,476909,True,2017-08-25 11:22:44+00:00,@476910 @115722 No one that every used their cable company liked them.,1538529,1538531.0
1538529,VerizonSupport,False,2017-08-25 11:26:00+00:00,"@476909 We want you to like us.  If you ever need anything, we're right here to help. ^BCW",1538528,1538530.0
1647898,503455,True,2017-09-05 19:19:31+00:00,Really endearing that @115722 keeps telling me to hurry and sign up for limited time offers when they don’t serve my house yet.,1647897,
1647897,VerizonSupport,False,2017-09-05 19:22:29+00:00,@503455 You can check for avail and status here.  https://t.co/Y42XTgUPzL ^CAR,1647896,1647898.0
1647896,503455,True,2017-09-05 19:27:06+00:00,".@VerizonSupport  I signed up already. You texted me, called me, and emailed me to tell me service was available. It wasn’t. https://t.co/t0bXnZASfD",1647895,1647897.0
1647895,VerizonSupport,False,2017-09-05 19:32:00+00:00,"@503455 That is strange. Please follow and DM us so that we can investigate this for you!
^HSB",1647893,1647896.0
1647893,503455,True,2017-09-05 19:38:09+00:00,".@VerizonSupport Already gone round w/ support. Unless y’all won’t follow up when it’s really avail like you said you would, no thank you. https://t.co/jJiq2TnK5n",1647891,1647895.0
1647891,VerizonSupport,False,2017-09-05 19:42:38+00:00,"@503455 We can help and will follow up, just need you to DM us. 
^ACM",1647892,1647893.0
736937,221126,True,2017-09-11 15:34:37+00:00,@117890 u guys are really horrible service and I'm going to switch to Verizon when they come knocking on my door,736935,
736935,VerizonSupport,False,2017-09-11 15:54:00+00:00,"@221126 We would love to have you. 
^ACM",736936,736937.0
664632,278394,True,2017-09-24 00:52:15+00:00,"@115990-Holding &gt;50 min w/VZ ""support."" 5 days w/ no voice service for many.Issue @30467/395 S. End Ave. Pls reply.",664630,
664630,VerizonSupport,False,2017-09-24 00:54:27+00:00,@278394 God evening was that for your home or cell voice services? ^RMD,664631,664632.0
252788,176073,True,2017-09-25 20:41:34+00:00,@115900 how do I stop getting weekly junk mail from you without making formal @136958 / MD A.G. complaint? Happy @115722.,252787,
252787,VerizonSupport,False,2017-09-25 20:52:00+00:00,@176073 We're happy to hear you're happy with us! Please let us know if you have any issues with your service. ^DDD,,252788.0
349046,146623,True,2017-09-26 02:14:20+00:00,"Hey, @VerizonSupport, figured out what Error 7613 is in your crappy mobile app yet?

Hah. Of COURSE you haven't, you bunch of jackoffs.",349045,
349045,VerizonSupport,False,2017-09-26 02:18:00+00:00,@146623 Are you watching on your home wifi network right now? ^DDD,349044,349046.0
349044,146623,True,2017-09-26 02:20:56+00:00,"@VerizonSupport yep, as always. ONLY Monday Night Football HAS EVER PRODUCED THIS ERROR AND IT HAS DONE IT FOR FOUR YEARS ON MOST DEVICES.",349043,349045.0
349043,VerizonSupport,False,2017-09-26 02:27:00+00:00,"@146623 Are you trying to watch the game in the Fios Mobile app or the NFL Mobile app?
^HSB",349042,349044.0
349042,146623,True,2017-09-26 04:03:16+00:00,"@VerizonSupport YOUR mobile app. Don't try to blame somebody else, you guys own this piece of crap.",349041,349043.0
349041,VerizonSupport,False,2017-09-26 04:06:31+00:00,@146623 You can report problems with the app by going to dashboard&gt; Help&gt; report problem. ^FEM,349040,349042.0
822066,VerizonSupport,False,2017-09-27 00:27:00+00:00,@315804 We'd like to help with your guide issue. Have you already rebooted both your router and Set Top Box? ^DDD,822065,
239547,172918,True,2017-09-27 04:11:54+00:00,I SO wanted to watch this one! Dang @115722 fix my @7147 😤 https://t.co/piks7nzcwL,239546,
